date,hits,geo,time,keyword,gprop,category
2019-12-08T00:00:00Z,70,US,today+5-y,%2Fm%2F01mw1,web,0
2019-12-15T00:00:00Z,74,US,today+5-y,%2Fm%2F01mw1,web,0
2019-12-22T00:00:00Z,87,US,today+5-y,%2Fm%2F01mw1,web,0
2019-12-29T00:00:00Z,69,US,today+5-y,%2Fm%2F01mw1,web,0
2020-01-05T00:00:00Z,59,US,today+5-y,%2Fm%2F01mw1,web,0
2020-01-12T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2020-01-19T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2020-01-26T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2020-02-02T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2020-02-09T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2020-02-16T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2020-02-23T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2020-03-01T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2020-03-08T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2020-03-15T00:00:00Z,69,US,today+5-y,%2Fm%2F01mw1,web,0
2020-03-22T00:00:00Z,81,US,today+5-y,%2Fm%2F01mw1,web,0
2020-03-29T00:00:00Z,82,US,today+5-y,%2Fm%2F01mw1,web,0
2020-04-05T00:00:00Z,81,US,today+5-y,%2Fm%2F01mw1,web,0
2020-04-12T00:00:00Z,85,US,today+5-y,%2Fm%2F01mw1,web,0
2020-04-19T00:00:00Z,78,US,today+5-y,%2Fm%2F01mw1,web,0
2020-04-26T00:00:00Z,81,US,today+5-y,%2Fm%2F01mw1,web,0
2020-05-03T00:00:00Z,75,US,today+5-y,%2Fm%2F01mw1,web,0
2020-05-10T00:00:00Z,80,US,today+5-y,%2Fm%2F01mw1,web,0
2020-05-17T00:00:00Z,82,US,today+5-y,%2Fm%2F01mw1,web,0
2020-05-24T00:00:00Z,73,US,today+5-y,%2Fm%2F01mw1,web,0
2020-05-31T00:00:00Z,65,US,today+5-y,%2Fm%2F01mw1,web,0
2020-06-07T00:00:00Z,71,US,today+5-y,%2Fm%2F01mw1,web,0
2020-06-14T00:00:00Z,69,US,today+5-y,%2Fm%2F01mw1,web,0
2020-06-21T00:00:00Z,71,US,today+5-y,%2Fm%2F01mw1,web,0
2020-06-28T00:00:00Z,69,US,today+5-y,%2Fm%2F01mw1,web,0
2020-07-05T00:00:00Z,66,US,today+5-y,%2Fm%2F01mw1,web,0
2020-07-12T00:00:00Z,68,US,today+5-y,%2Fm%2F01mw1,web,0
2020-07-19T00:00:00Z,73,US,today+5-y,%2Fm%2F01mw1,web,0
2020-07-26T00:00:00Z,69,US,today+5-y,%2Fm%2F01mw1,web,0
2020-08-02T00:00:00Z,68,US,today+5-y,%2Fm%2F01mw1,web,0
2020-08-09T00:00:00Z,68,US,today+5-y,%2Fm%2F01mw1,web,0
2020-08-16T00:00:00Z,71,US,today+5-y,%2Fm%2F01mw1,web,0
2020-08-23T00:00:00Z,72,US,today+5-y,%2Fm%2F01mw1,web,0
2020-08-30T00:00:00Z,71,US,today+5-y,%2Fm%2F01mw1,web,0
2020-09-06T00:00:00Z,72,US,today+5-y,%2Fm%2F01mw1,web,0
2020-09-13T00:00:00Z,72,US,today+5-y,%2Fm%2F01mw1,web,0
2020-09-20T00:00:00Z,72,US,today+5-y,%2Fm%2F01mw1,web,0
2020-09-27T00:00:00Z,65,US,today+5-y,%2Fm%2F01mw1,web,0
2020-10-04T00:00:00Z,62,US,today+5-y,%2Fm%2F01mw1,web,0
2020-10-11T00:00:00Z,63,US,today+5-y,%2Fm%2F01mw1,web,0
2020-10-18T00:00:00Z,63,US,today+5-y,%2Fm%2F01mw1,web,0
